bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2456471,1401308627,acbk,Roast chicken a,9/4/07,373,9/27/07,12/23/14,23,246,269,3315,3017,0,24,120,54,33,15,15,10,7,11,289,641, Food & drink
2447404,316118044,acbk,Takeover the re,9/5/07,374,9/11/07,6/26/13,6,247,253,3314,3033,0,41,103,23,6,3,3,2,0,5,186,973, United States
2481635,972561129,jcbk,My brain wont f,9/7/07,375,5/21/08,11/15/14,257,249,141,3312,2780,0,0,10,8,5,9,9,3,4,6,54,863,Spanish fiction
2456844,061859499X,acbk,Beautiful city,9/10/07,376,10/20/07,7/21/10,40,252,292,3309,2994,0,5,15,12,2,0,0,0,0,0,34,547, Organic chemistry
2441265,1580176801,acbk,Fallscaping ext,9/12/07,377,10/1/07,12/19/14,19,254,273,3307,3013,0,18,46,18,17,10,9,12,4,5,139,635,Garden crops (Horticulture)
2452936,1552979997,acbk,Oceanic wildern,9/14/07,378,10/27/07,6/29/14,43,256,299,3305,2987,0,8,24,24,15,11,6,8,3,2,101,578, Natural history of organisms & related subjects
2448312,1590512650,acbk,unforeseen a no,9/15/07,379,11/27/07,8/8/11,73,257,330,3304,2956,0,4,4,3,1,1,0,0,0,0,13,133,Specific topics in parapsychology & occultism
2433238,393062260,acbk,book of Psalms,9/17/07,380,10/6/07,12/15/14,19,259,278,3302,3008,0,12,32,11,12,7,6,7,8,6,101,223,Poetic books of Old Testament
2679644,312374658,acbk,ice man confess,9/18/07,381,10/14/10,11/17/12,1122,260,286,3301,1904,0,0,0,0,9,16,10,0,0,0,35,364, Criminology
2449370,1401214533,acbk,John Constantin,9/19/07,382,10/30/07,11/23/13,41,261,302,3300,2984,0,20,127,33,14,13,8,9,0,0,224,741,Drawing & drawings
2548962,811859320,acbk,Christmas sweet,9/20/07,383,12/16/08,12/2/14,453,262,350,3299,2571,0,0,3,24,14,10,12,9,6,1,79,641, Food & drink
2486322,972105050,acbk,leer a jugar co,9/25/07,384,7/12/08,12/31/14,291,267,193,3294,2728,0,0,12,12,8,2,4,0,2,0,40,305, Groups of people
2434998,1413306985,acbk,Beat your ticke,9/27/07,385,11/5/07,5/16/12,39,269,308,3292,2978,0,3,13,12,9,4,1,0,0,0,42,345, Criminal law
2451493,1904435548,acbk,Watching encoun,9/28/07,386,9/29/07,7/30/14,1,270,271,3291,3015,0,15,13,2,1,2,2,1,1,0,37,301, Sociology & anthropology
2476922,1891830945,acbk,Essex County vo,9/29/07,387,3/5/08,12/13/14,158,271,64,3290,2857,0,0,40,26,32,28,17,11,9,12,175,741,Drawing & drawings
2481630,8498011442,jcbk,peque???_???_a,10/1/07,388,6/18/08,1/3/15,261,273,169,3288,2752,0,0,5,7,18,9,11,8,7,4,69,31,General encyclopedic works in American English
2683158,8466320148,acbk,guerra del fin,10/1/07,389,3/12/11,8/29/14,1258,273,70,3288,1755,0,0,0,0,0,9,3,8,1,3,24,863,Spanish fiction
2443856,61351954,acbk,Two histories o,10/2/07,390,10/16/07,1/14/15,14,274,288,3287,2998,0,5,17,9,7,5,4,4,3,2,56,823,English fiction
2456148,1401214630,acbk,Nightwing love,10/3/07,391,12/2/07,3/13/12,60,275,335,3286,2951,0,10,63,42,20,14,4,0,0,0,153,741,Drawing & drawings
2435042,1413307051,acbk,Work less live,10/4/07,392,11/16/07,11/10/14,43,276,319,3285,2967,0,9,44,19,20,23,15,14,18,12,174,332, Financial economics
2439103,471781835,acbk,Great bar food,10/8/07,393,11/1/07,1/26/14,24,280,304,3281,2982,0,13,48,22,13,15,10,9,2,0,132,641, Food & drink
2505280,1845371798,acbk,Trekking atlas,10/12/07,394,6/7/08,1/2/15,239,284,158,3277,2763,0,0,12,10,1,7,6,6,10,3,55,796,Athletic & outdoor sports & games
2451446,977628167,acbk,My Maggie,10/13/07,395,11/17/07,8/4/11,35,285,320,3276,2966,0,3,9,1,1,1,0,0,0,0,15,362,Social problems of & services to groups of people
2451392,849918677,acbk,Better than my,10/14/07,396,12/17/07,4/2/14,64,286,350,3275,2936,0,1,7,5,7,5,0,1,1,2,29,248," Christian experience, practice, life"
2458947,1596920637,acbk,Choice true sto,10/19/07,397,7/21/08,11/25/14,276,291,202,3270,2719,0,0,19,10,5,5,5,3,10,6,63,810,American literature in English
2692288,1609180755,acbk,ADHD in adults,10/19/07,398,1/11/11,1/9/15,1180,291,10,3270,1815,0,0,0,0,0,28,30,24,16,15,113,616, Diseases
2437776,151014116,acbk,vanishing act o,10/24/07,399,11/1/07,1/20/15,8,296,304,3265,2982,0,50,255,59,60,57,55,31,27,10,604,979,Great Basin & Pacific Slope region of United States
2435027,1413305326,acbk,Legal guide to,10/25/07,400,1/11/08,4/10/14,78,297,10,3264,2911,0,0,12,5,7,4,5,6,2,2,43,346, Private law
2442217,1560259132,acbk,Money shot wild,10/26/07,401,11/17/07,3/30/08,22,298,320,3263,2966,0,7,6,0,0,0,0,0,0,0,13,791,Public performances
2486957,1551281279,acbk,High hat trumpe,10/27/07,402,12/13/08,8/29/14,413,299,347,3262,2574,0,0,2,1,1,2,1,1,1,1,10,782, Vocal music
2480432,7231784,acbk,Drawing manga,10/28/07,403,2/24/08,1/2/15,119,300,54,3261,2867,0,0,35,33,9,15,17,12,12,9,142,741,Drawing & drawings
2443892,316005274,acbk,Gonzo the life,10/31/07,404,11/2/07,1/6/15,2,303,305,3258,2981,0,17,64,43,22,13,10,8,9,6,192,745,Decorative arts
2465279,1933390220,jcbk,Tattoo of death,11/1/07,405,12/19/07,1/20/15,48,304,352,3257,2934,0,4,79,42,35,30,20,19,15,14,258,741,Drawing & drawings
2462320,1568583664,acbk,Nobody likes a,11/3/07,406,11/25/07,7/2/12,22,306,328,3255,2958,0,2,10,7,0,2,5,0,0,0,26,362,Social problems of & services to groups of people
2456593,830835113,acbk,Deep rooted in,11/4/07,407,11/21/07,11/19/11,17,307,324,3254,2962,0,2,3,6,2,1,0,0,0,0,14,248," Christian experience, practice, life"
2453934,038552241X,acbk,Nativity histor,11/6/07,408,12/12/07,1/2/14,36,309,345,3252,2941,0,5,6,1,1,0,2,2,1,0,18,232, Jesus Christ & his family
2443913,1594201404,acbk,Listening is an,11/8/07,409,12/14/07,12/9/14,36,311,347,3250,2939,0,10,139,62,50,22,34,28,21,9,375,973, United States
2456327,1595581685,acbk,Unmarketable br,11/12/07,410,12/14/07,9/28/13,32,315,347,3246,2939,0,4,29,10,11,5,4,3,0,0,66,658,General management
2445652,446581208,acbk,Shooting war,11/14/07,411,12/5/07,3/6/13,21,317,338,3244,2948,0,7,60,20,16,5,1,1,0,0,110,741,Drawing & drawings
2462308,830834907,acbk,gods of war is,11/16/07,412,11/26/07,10/27/14,10,319,329,3242,2957,0,3,10,5,4,2,5,1,3,0,33,201,"Religious mythology, general classes of religion, interreligious relations and attitudes, social theology"
2447355,1602391939,acbk,emergency teach,11/17/07,413,12/19/07,10/13/14,32,320,352,3241,2934,0,2,11,3,3,3,3,1,2,2,30,371,Schools & their activities; special education
2449381,1561589411,acbk,Get your croche,11/20/07,414,12/3/07,11/6/14,13,323,336,3238,2950,0,22,92,68,48,34,18,26,6,0,314,746, Textile arts
2463760,1560978449,acbk,Palestine,11/21/07,415,12/14/07,6/25/14,23,324,347,3237,2939,0,6,40,35,31,16,34,12,7,0,181,956, Middle East (Near East)
2473144,761135812,acbk,Cooking Jewish,11/22/07,416,1/4/08,9/16/14,43,325,3,3236,2918,0,0,21,6,6,3,1,5,2,1,45,641, Food & drink
2463976,1580052045,acbk,For keeps women,11/23/07,417,3/15/08,11/29/13,113,326,74,3235,2847,0,0,42,21,24,9,6,4,0,0,106,306, Culture & institutions
2471724,019921557X,acbk,Ezra Pound poet,11/24/07,418,1/25/08,6/18/14,62,327,24,3234,2897,0,0,7,1,5,1,3,3,1,2,23,810,American literature in English
2442761,1600400043,jcbk,Polar bear puzz,11/25/07,419,12/11/07,1/2/15,16,328,344,3233,2942,0,7,73,62,56,54,21,10,9,11,303,398, Folklore
2562236,939616572,acbk,Anatomy of move,12/2/07,420,3/3/09,1/8/15,457,335,61,3226,2494,0,0,0,32,32,13,19,18,23,20,157,612, Human physiology
2456608,446199575,acbk,nuclear jihadis,12/3/07,421,12/19/07,10/8/14,16,336,352,3225,2934,0,1,16,1,4,1,2,1,3,1,30,623, Military & nautical engineering
2453768,1401215432,acbk,Wonder Woman Am,12/5/07,422,1/25/08,1/15/15,51,338,24,3223,2897,0,0,104,84,58,41,36,30,9,14,376,741,Drawing & drawings
2468138,979472725,acbk,full body proje,12/6/07,423,2/2/08,1/5/15,58,339,32,3222,2889,0,0,40,22,21,28,14,7,6,25,163,779, Photographic images
2463908,738711055,acbk,Your altar crea,12/8/07,424,12/9/07,12/18/14,1,341,342,3220,2944,0,5,34,23,12,16,13,17,10,18,148,203,Public worship and other practices
2435132,031600913X,acbk,Watchman,12/11/07,425,12/14/07,11/25/14,3,344,347,3217,2939,0,27,323,165,125,95,74,59,21,6,895,784, Instruments & Instrumental ensembles & their music
2451383,031606632X,acbk,animal dialogue,12/12/07,426,12/17/07,12/28/14,5,345,350,3216,2936,0,5,158,60,24,33,33,6,16,13,348,590,Animals
2469907,811217116,acbk,Descartes lonel,12/17/07,427,1/3/08,7/3/14,17,350,2,3211,2919,0,0,8,2,0,2,3,1,1,1,18,811,American poetry in English
2633786,135011574,acbk,Stitch sampler,12/20/07,428,2/16/10,12/30/14,789,353,46,3208,2144,0,0,0,0,19,21,21,20,9,13,103,746, Textile arts
2404764,1560977981,acbk,Laura Warholic,12/21/07,429,1/15/08,1/20/15,25,354,14,3207,2907,0,0,40,5,7,3,2,2,0,1,60,538, Magnetism
2517678,881928518,acbk,Clematis for sm,12/24/07,430,9/15/08,9/18/14,266,357,258,3204,2663,0,0,12,20,21,18,17,17,7,11,123,635,Garden crops (Horticulture)
2463919,073821115X,acbk,Too young to fe,12/25/07,431,1/18/08,6/8/14,24,358,17,3203,2904,0,0,24,11,8,9,8,3,3,2,68,616, Diseases
2463937,819568597,acbk,collected poems,12/28/07,432,1/6/08,7/19/12,9,361,5,3200,2916,0,0,8,3,5,1,1,0,0,0,18,811,American poetry in English
2631881,1901285855,acbk,Burning secret,1/1/08,433,4/17/10,1/21/15,837,0,106,3196,2084,0,0,0,0,10,5,4,4,18,4,45,811,American poetry in English
2469033,61451916,acbk,Monday morning,1/2/08,434,1/15/08,11/10/14,13,1,14,3195,2907,0,0,41,12,8,4,7,4,2,0,78,158, Applied psychology
2478161,881928607,acbk,Taming the truf,1/4/08,435,2/7/08,11/28/14,34,3,37,3193,2884,0,0,17,6,12,9,7,3,8,2,64,635,Garden crops (Horticulture)
2486313,1893910490,acbk,50 simple steps,1/5/08,436,3/31/08,3/11/12,86,4,90,3192,2831,0,0,20,4,3,1,3,0,0,0,31,363,Other social problems & services
2671151,184767125X,acbk,Being Emily,1/5/08,437,10/21/10,1/5/14,1020,4,293,3192,1897,0,0,0,0,4,11,8,2,1,0,26,895,Literatures of East & Southeast Asia
2534163,785289380,acbk,ten commandment,1/6/08,438,11/1/08,11/23/14,300,5,305,3191,2616,0,0,4,14,8,12,5,2,2,1,48,241,Christian ethics
2731492,7801708407,acbk,Dang dai Beijin,1/6/08,439,8/26/11,5/6/14,1328,5,237,3191,1588,0,0,0,0,0,6,16,3,4,3,32,647, Management of public households (Institutional housekeeping)
2456038,151013705,acbk,dead of summer,1/7/08,440,1/19/08,2/27/13,12,6,18,3190,2903,0,0,51,13,7,4,1,1,0,2,79,818,American miscellaneous writings in English
2665163,132400103,acbk,Your cosmic con,1/12/08,441,7/13/10,1/17/15,913,11,193,3185,1997,0,0,0,0,7,3,3,2,3,4,22,523,Specific celestial bodies & phenomena
2485983,71591583,acbk,Greenspans bubb,1/13/08,442,3/26/08,12/20/14,73,12,85,3184,2836,0,0,86,41,23,9,0,4,7,3,173,332, Financial economics
2457738,1596922583,acbk,Dogface a novel,1/18/08,443,10/27/08,6/8/11,283,17,300,3179,2621,0,0,13,22,9,3,0,0,0,0,47,613,Personal health & safety
2485482,160795591,acbk,U S Marines in,1/20/08,444,4/8/08,8/10/13,79,19,98,3177,2823,0,0,1,3,0,1,0,1,0,2,8,398, Folklore
2460764,1841958816,acbk,Bananas how the,1/21/08,445,1/29/08,1/10/15,8,20,28,3176,2893,0,0,55,29,24,18,24,6,6,2,164,338, Production
2444078,785119108,acbk,Nextwave agents,1/23/08,446,3/2/08,1/6/15,39,22,61,3174,2860,0,0,154,78,45,27,19,19,8,8,358,741,Drawing & drawings
2440299,399154396,acbk,Comrade J the u,1/24/08,447,2/6/08,6/13/14,13,23,36,3173,2885,0,0,33,11,12,1,3,3,3,0,66,327, International relations
2441102,160786916,acbk,global threat o,1/25/08,448,9/20/08,9/16/14,239,24,263,3172,2658,0,0,1,1,0,1,0,1,2,0,6,613,Personal health & safety
2480947,310269032,acbk,whole truth,1/27/08,449,3/1/08,8/9/12,34,26,60,3170,2861,0,0,40,10,5,3,1,0,0,0,59,741,Drawing & drawings
2473862,520252322,acbk,Selected prose,1/28/08,450,3/29/08,1/4/15,61,27,88,3169,2833,0,0,7,3,2,2,4,1,1,2,22,811,American poetry in English
2632655,521701473,acbk,students guide,1/28/08,451,2/27/10,1/11/15,761,27,57,3169,2133,0,0,0,0,12,5,3,5,3,7,35,530,Physics
2475870,955138442,acbk,Little Moscow,1/30/08,452,5/19/08,8/11/14,110,29,139,3167,2782,0,0,7,6,6,1,0,1,1,0,22,373, Secondary education
2631273,873489993,acbk,Teamster power,1/31/08,453,2/27/10,10/31/14,758,30,57,3166,2133,0,0,0,0,2,0,0,1,2,0,5,331, Labor economics
2469076,1572245220,acbk,ADHD me what I,2/2/08,454,2/10/08,1/11/15,8,32,40,3164,2881,0,0,36,19,15,14,11,10,7,5,117,618," Gynecology, obstetrics, pediatrics, geriatrics"
2471611,691131511,acbk,Byzantium the s,2/3/08,455,2/13/08,12/20/14,10,33,43,3163,2878,0,0,40,23,18,14,8,12,4,3,122,949,Other parts of Europe
2458602,1595542140,acbk,Red helmet,2/5/08,456,2/7/08,4/23/13,2,35,37,3161,2884,0,0,40,7,9,3,0,1,0,0,60,28,Reading & use of other information media
2472495,140121097X,acbk,Incognegro,2/6/08,457,3/11/08,11/26/14,34,36,70,3160,2851,0,0,82,43,28,22,20,15,5,13,228,741,Drawing & drawings
2502961,892553383,acbk,Undertow poems,2/7/08,458,6/30/08,4/20/13,144,37,181,3159,2740,0,0,3,2,1,1,1,1,0,1,10,811,American poetry in English
2498456,1569069956,acbk,Massimos Italia,2/8/08,459,5/24/08,5/24/14,106,38,144,3158,2777,0,0,33,30,19,11,10,4,2,0,109,641, Food & drink
2483197,1933771291,acbk,Please stop lau,2/9/08,460,3/22/08,11/8/14,42,39,81,3157,2840,0,0,9,12,5,4,6,4,4,1,45,371,Schools & their activities; special education
2458598,871139782,acbk,World made by h,2/11/08,461,3/17/08,1/20/15,35,41,76,3155,2845,0,0,278,224,130,79,70,43,33,22,879,28,Reading & use of other information media
2857590,158240500X,acbk,Invincible ulti,2/12/08,462,12/5/12,1/22/15,1758,42,339,3154,1121,0,0,0,0,0,0,6,54,56,42,158,741,Drawing & drawings
2488740,1560978910,acbk,Hotwire comics,2/13/08,463,5/7/08,8/26/13,84,43,127,3153,2794,0,0,37,23,14,17,4,3,0,0,98,741,Drawing & drawings
2485815,1572245026,acbk,Connecting thro,2/14/08,464,3/25/08,1/15/15,40,44,84,3152,2837,0,0,30,29,15,5,7,14,9,3,112,615, Pharmacology and therapeutics
2460694,801012996,acbk,popular survey,2/15/08,465,3/21/08,4/12/11,35,45,80,3151,2841,0,0,7,4,5,1,0,0,0,0,17,225, New Testament
2486204,826341780,acbk,Come with me to,2/16/08,466,6/27/08,8/12/13,132,46,178,3150,2743,0,0,20,11,0,1,1,3,0,1,37,895,Literatures of East & Southeast Asia
2467031,802118623,acbk,Light years a g,2/18/08,467,3/22/08,10/17/14,33,48,81,3148,2840,0,0,33,7,8,4,1,8,7,9,77,261,Social theology and interreligious relations and attitudes
2463915,571217443,acbk,What I really w,2/19/08,468,3/20/08,1/10/15,30,49,79,3147,2842,0,0,9,7,5,5,3,2,3,2,36,791,Public performances
2472750,199218420,acbk,Nets puzzles an,2/20/08,469,2/22/08,11/23/14,2,50,52,3146,2869,0,0,18,8,9,8,4,5,4,3,59,510,Mathematics
2505677,848731204,acbk,Essentials of I,2/22/08,470,7/1/08,1/12/15,130,52,182,3144,2739,0,0,35,54,50,33,22,16,0,1,211,641, Food & drink
2598520,8498674697,acbk,Sociedad Litera,3/1/08,471,7/29/09,11/29/12,515,60,209,3136,2346,0,0,0,9,6,3,3,0,0,0,21,863,Spanish fiction
2480718,310277272,acbk,My name is Russ,3/2/08,472,3/19/08,6/12/13,17,61,78,3135,2843,0,0,25,5,4,2,1,1,0,0,38,741,Drawing & drawings
2484728,030011544X,acbk,Amazon expediti,3/3/08,473,3/25/08,12/3/13,22,62,84,3134,2837,0,0,26,7,1,1,0,4,0,2,41,560, Paleontology
2481349,195305574,acbk,Blogwars,3/7/08,474,3/24/08,4/12/14,17,66,83,3130,2838,0,0,14,1,1,0,0,0,1,2,19,320,Political science (Politics & government)
2483795,738710482,acbk,Little shop of,3/8/08,475,3/29/08,8/18/13,21,67,88,3129,2833,0,0,37,21,10,4,5,2,0,1,80,28,Reading & use of other information media
2492500,310712149,jcbk,Lets go on a Mo,3/9/08,476,4/26/08,1/9/15,48,68,116,3128,2805,0,0,38,53,56,17,21,26,13,9,233,741,Drawing & drawings
2472065,316199079,acbk,blue star a nov,3/10/08,477,3/24/08,6/24/14,14,69,83,3127,2838,0,0,131,53,15,8,3,5,3,1,219,741,Drawing & drawings
2472437,61337552,acbk,From Harvey Riv,3/11/08,478,4/4/08,1/17/15,24,70,94,3126,2827,0,0,15,9,2,1,3,4,0,4,38,759," History, geographic treatment, biography"
2480072,520079612,acbk,Rome and enviro,3/12/08,479,5/1/08,1/11/15,50,71,121,3125,2800,0,0,10,7,6,7,8,4,3,4,49,937,Italian Peninsula to 476 & adjacent territories to 476
2492894,826344097,acbk,Ghosts of El Gr,3/16/08,480,5/21/08,5/6/09,66,75,141,3121,2780,0,0,7,2,0,0,0,0,0,0,9,741,Drawing & drawings
2473379,1596922834,acbk,Salvage a novel,3/17/08,481,4/25/08,10/16/14,39,76,115,3120,2806,0,0,40,20,8,4,4,2,4,0,82,741,Drawing & drawings
2467888,802170447,acbk,Serve the peopl,3/18/08,482,3/22/08,11/26/14,4,77,81,3119,2840,0,0,30,5,2,9,6,11,2,4,69,645, Household furnishings
2498436,71548424,acbk,How to avoid fa,3/19/08,483,6/11/08,5/20/14,84,78,162,3118,2759,0,0,18,25,13,10,3,10,5,2,86,646," Sewing, clothing, management of personal and family life"
2501521,1568987374,acbk,Letter by lette,3/20/08,484,6/12/08,2/24/14,84,79,163,3117,2758,0,0,21,15,6,5,3,2,1,2,55,411, Writing systems of standard forms of languages
2484265,618737391,jcbk,Philliss big te,3/21/08,485,4/4/08,1/20/15,14,80,94,3116,2827,0,0,25,26,18,6,11,3,9,9,107,741,Drawing & drawings
2494079,691126984,acbk,Digital dice co,3/23/08,486,5/6/08,1/18/15,44,82,126,3114,2795,0,0,17,15,6,6,8,5,7,3,67,519, Probabilities & applied mathematics
2480712,031601785X,acbk,Devils peak a n,3/26/08,487,4/13/08,8/19/14,18,85,103,3111,2818,0,0,85,33,26,25,27,21,7,12,236,741,Drawing & drawings
2472427,674027744,acbk,Big enough to b,3/29/08,488,4/2/08,10/20/14,4,88,92,3108,2829,0,0,12,1,1,0,0,2,2,0,18,973, United States
2507410,3791339435,acbk,Bob Dylan the D,3/31/08,489,8/14/08,12/26/14,136,90,226,3106,2695,0,0,9,11,3,0,2,7,5,4,41,741,Drawing & drawings
2500973,785123709,acbk,Mighty Avengers,4/2/08,490,6/6/08,1/17/15,65,92,157,3104,2764,0,0,116,88,36,30,19,26,23,19,357,741,Drawing & drawings
2483213,674028228,acbk,Word of the Lor,4/4/08,491,4/17/08,3/22/14,13,94,107,3102,2814,0,0,8,1,1,1,1,2,1,1,16,323, Civil & political rights
2472023,316002119,acbk,Girls in trucks,4/7/08,492,4/23/08,10/29/14,16,97,113,3099,2808,0,0,144,155,84,60,35,39,19,11,547,741,Drawing & drawings
2503427,141030437,acbk,Islamist why I,4/9/08,493,6/16/08,10/14/14,68,99,167,3097,2754,0,0,12,17,5,1,5,1,8,3,52,320,Political science (Politics & government)
2470785,399243798,jcbk,Doppelganger,4/10/08,494,5/7/08,1/8/14,27,100,127,3096,2794,0,0,17,2,3,7,2,2,1,1,35,567,Fossil cold-blooded vertebrates
2502941,1596922869,acbk,AK47 the story,4/11/08,495,6/11/08,12/22/14,61,101,162,3095,2759,0,0,23,10,6,7,6,7,7,4,70,623, Military & nautical engineering
2509894,979475600,acbk,Murders madness,4/13/08,496,7/19/08,5/6/14,97,103,200,3093,2721,0,0,8,5,4,2,1,1,1,1,23,779, Photographic images
2472005,151014841,acbk,Lady Lazarus,4/14/08,497,4/29/08,7/2/14,15,104,119,3092,2802,0,0,40,19,10,7,1,3,2,0,82,741,Drawing & drawings
2662658,979882419,acbk,King commands,4/14/08,498,7/23/10,4/22/14,830,104,203,3092,1987,0,0,0,0,11,2,2,4,1,0,20,567,Fossil cold-blooded vertebrates
2469044,385507992,acbk,Newton,4/15/08,499,4/26/08,12/15/14,11,105,116,3091,2805,0,0,15,18,7,8,8,5,7,2,70,305, Groups of people
2471701,618879641,acbk,Kluge the hapha,4/16/08,500,4/23/08,1/3/15,7,106,113,3090,2808,0,0,77,58,21,16,17,5,3,4,201,153,Conscious mental processes & intelligence
2475439,195314395,acbk,Murder of a Med,4/18/08,501,4/29/08,9/22/14,11,108,119,3088,2802,0,0,39,29,21,13,11,7,8,2,130,940,History of Europe
2503259,848731921,acbk,Williams Sonoma,4/20/08,502,6/16/08,1/17/15,57,110,167,3086,2754,0,0,44,47,49,37,24,24,19,12,256,641, Food & drink
2512662,785126430,jcbk,Hulk Vol 2 Defe,4/23/08,503,7/11/08,1/26/14,79,113,192,3083,2729,0,0,91,139,92,65,42,14,1,0,444,741,Drawing & drawings
2494742,300122772,acbk,Resurrection th,4/24/08,504,5/10/08,9/26/14,16,114,130,3082,2791,0,0,5,5,4,1,4,5,3,3,30,236, Eschatology
2483211,830836098,acbk,True story a Ch,4/25/08,505,5/21/08,11/14/14,26,115,141,3081,2780,0,0,11,6,5,3,7,3,3,1,39,239, Apologetics & polemics
2493462,1905798091,acbk,coast road a 30,4/28/08,506,5/6/08,3/6/14,8,118,126,3078,2795,0,0,20,14,12,23,6,1,1,0,77,914,Geography of & travel in Europe
2656513,1592536255,acbk,Sweater surgery,5/1/08,507,5/19/10,1/12/15,748,121,138,3075,2052,0,0,0,0,40,26,22,24,10,8,130,646," Sewing, clothing, management of personal and family life"
2478989,081448056X,acbk,joy of retireme,5/7/08,508,5/22/08,1/14/15,15,127,142,3069,2779,0,0,35,17,22,26,20,17,20,20,177,646," Sewing, clothing, management of personal and family life"
2543826,977762440,acbk,Following the r,5/9/08,509,2/9/09,9/15/14,276,129,39,3067,2516,0,0,0,2,0,0,3,0,3,0,8,738, Ceramic arts
2489674,1590584805,acbk,fisher boy,5/10/08,510,5/13/08,9/3/13,3,130,133,3066,2788,0,0,59,20,5,3,1,4,0,0,92,616, Diseases
2491569,307382958,acbk,In the Hamptons,5/11/08,511,5/23/08,10/26/14,12,131,143,3065,2778,0,0,37,15,8,6,7,6,6,2,87,974, Northeastern United States (New England & Middle Atlantic states)
2477851,151010811,acbk,Soldiers of rea,5/12/08,512,5/23/08,8/2/13,11,132,143,3064,2778,0,0,31,8,6,4,4,2,0,0,55,355, Military science
2552470,978617622,jcbk,One night in Fr,5/14/08,513,4/1/09,10/2/14,322,134,90,3062,2465,0,0,0,34,47,20,9,2,6,1,119,398, Folklore
2525592,768927803,acbk,Petersons maste,5/16/08,514,10/2/08,1/10/13,139,136,275,3060,2646,0,0,18,33,10,7,5,1,0,0,74,378, Higher education (Tertiary education)
2478165,393060594,acbk,sauciers appren,5/17/08,515,6/3/08,8/6/14,17,137,154,3059,2767,0,0,40,44,22,14,14,7,3,2,146,641, Food & drink
2489036,691114315,acbk,When Im sixty f,5/18/08,516,6/5/08,11/1/14,18,138,156,3058,2765,0,0,20,4,1,2,2,11,2,0,42,331, Labor economics
2484516,076363025X,acbk,merchant of Ven,5/22/08,517,7/8/08,1/17/15,47,142,189,3054,2732,0,0,26,18,22,12,13,9,4,10,114,822, English drama
2493694,1597261742,acbk,Revolution on t,5/23/08,518,7/7/08,7/9/12,45,143,188,3053,2733,0,0,5,3,3,1,1,0,0,0,13,636, Animal husbandry
2501526,1932646329,acbk,Never again aga,5/25/08,519,6/28/08,2/24/14,34,145,179,3051,2742,0,0,18,14,15,8,11,8,1,5,80,364, Criminology
2483776,1933648872,acbk,remnant,5/26/08,520,6/25/08,11/25/12,30,146,176,3050,2745,0,0,27,18,6,4,3,0,0,0,58,28,Reading & use of other information media
2518393,752877992,acbk,Killing the bea,5/28/08,521,9/2/08,11/26/14,97,148,245,3048,2676,0,0,7,5,3,0,2,4,3,1,25,6, Special computer methods
2498009,039924686X,acbk,Meltdown the fi,5/29/08,522,7/1/08,2/12/13,33,149,182,3047,2739,0,0,14,11,9,7,1,1,0,0,43,741,Drawing & drawings
2505243,1905005601,acbk,City cycling,5/31/08,523,6/9/08,11/13/14,9,151,160,3045,2761,0,0,39,27,19,27,12,12,7,2,145,796,Athletic & outdoor sports & games
2638935,1559213051,acbk,High rising a n,6/1/08,524,2/27/10,1/17/15,636,152,57,3044,2133,0,0,0,0,30,34,32,30,26,16,168,331, Labor economics
2589608,9707774630,jcbk,Fuera de aqui h,6/2/08,525,7/8/09,1/15/15,401,153,188,3043,2367,0,0,0,19,43,32,16,19,11,13,153,741,Drawing & drawings
2484814,195340116,acbk,Conquest how so,6/5/08,526,6/14/08,9/28/14,9,156,165,3040,2756,0,0,10,13,3,2,1,3,2,0,34,303,Social processes
2477926,525950702,acbk,More than it hu,6/19/08,527,7/7/08,11/19/13,18,170,188,3026,2733,0,0,94,92,43,18,15,9,0,3,274,320,Political science (Politics & government)
2486267,340954663,acbk,Green is the ne,6/28/08,528,7/21/08,11/16/13,23,179,202,3017,2719,0,0,13,15,15,7,4,4,0,0,58,646," Sewing, clothing, management of personal and family life"
2603571,184425383X,acbk,Suzuki GSX R600,6/30/08,529,4/15/10,7/7/12,654,181,104,3015,2086,0,0,0,0,2,0,1,0,0,0,3,629,Other branches of engineering
2510945,174114857X,acbk,Little wing,7/1/08,530,8/12/08,10/19/13,42,182,224,3014,2697,0,0,4,5,1,2,2,2,0,0,16,793, Indoor games & amusements
2738407,897935047,acbk,Yoga exercises,7/1/08,531,11/5/11,12/11/14,1222,182,308,3014,1517,0,0,0,0,0,5,14,17,11,8,55,613,Personal health & safety
2490587,316006947,acbk,Undiscovered co,7/3/08,532,7/14/08,1/4/15,11,184,195,3012,2726,0,0,32,28,10,9,8,5,7,9,108,895,Literatures of East & Southeast Asia
2484815,520252268,acbk,Bombay Anna the,7/7/08,533,7/14/08,9/23/14,7,188,195,3008,2726,0,0,25,10,4,3,5,6,5,3,61,303,Social processes
2504292,1590512790,acbk,On a day like t,7/8/08,534,7/26/08,10/22/14,18,189,207,3007,2714,0,0,10,11,8,14,6,7,4,5,65,4, Computer science
2489711,307377032,acbk,Still waters,7/15/08,535,7/24/08,8/9/14,9,196,205,3000,2716,0,0,36,18,18,15,14,6,1,7,115,616, Diseases
