bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2384905,084991311X,acbk,thrill of the c,12/3/06,202,1/14/07,9/26/13,42,336,13,3590,3273,0,15,11,8,5,1,2,2,0,0,44,241,Christian ethics
2388426,195181395,acbk,Color blind jus,12/4/06,203,1/30/07,7/26/13,57,337,29,3589,3257,0,5,4,2,1,1,1,1,0,0,15,974, Northeastern United States (New England & Middle Atlantic states)
2393793,307386562,acbk,Iraq Study Grou,12/6/06,204,1/16/07,10/24/12,41,339,15,3587,3271,0,33,0,4,0,1,1,0,0,0,39,973, United States
2401850,977902374,acbk,Sicilian conspi,12/7/06,205,2/1/07,10/6/10,56,340,31,3586,3255,0,26,0,2,1,0,0,0,0,0,29,646," Sewing, clothing, management of personal and family life"
2410218,1904130224,acbk,Potscrubber lul,12/8/06,206,5/8/07,1/5/15,151,341,127,3585,3159,0,6,4,1,1,1,0,0,1,2,16,811,American poetry in English
2729968,1879794209,jcbk,Sonic the hedge,12/8/06,207,8/14/11,10/10/12,1710,341,225,3585,1600,0,0,0,0,0,59,24,0,0,0,83,741,Drawing & drawings
2795306,131935429,bcbk,Word by word En,12/9/06,208,7/11/12,2/1/14,2041,342,192,3584,1268,0,0,0,0,0,0,3,4,1,1,9,428,Standard English usage (Prescriptive linguistics)
2411799,1571782028,acbk,Donkey the myst,12/10/06,209,6/17/07,10/21/14,189,343,167,3583,3119,0,5,3,5,5,3,2,0,2,1,26,636, Animal husbandry
2396884,316114596,acbk,Great tales fro,12/11/06,210,1/12/07,1/14/15,32,344,11,3582,3275,0,28,16,9,8,6,6,3,7,1,84,941, British Isles
2394163,977674673,acbk,Meet me at the,12/14/06,211,1/4/07,1/16/14,21,347,3,3579,3283,0,22,6,4,2,2,1,0,1,1,39,299,Religions not provided for elsewhere
2391452,861715136,acbk,great heart way,12/15/06,212,2/5/07,1/28/13,52,348,35,3578,3251,0,21,6,16,4,4,2,1,0,0,54,294, Religions of Indic origin
2403214,131986473,acbk,Jeffrey Gitomer,12/16/06,213,3/12/07,5/3/14,86,349,70,3577,3216,0,36,26,16,4,1,6,3,1,0,93,158, Applied psychology
2393557,618719601,jcbk,Sophie Hartley,12/18/06,214,2/21/07,11/23/14,65,351,51,3575,3235,0,35,13,9,9,12,5,3,8,3,97,741,Drawing & drawings
2396919,785120254,acbk,New X Men child,12/20/06,215,2/2/07,5/3/13,44,353,32,3573,3254,0,88,48,34,23,19,11,3,0,0,226,741,Drawing & drawings
2383665,1565124731,acbk,lady in the pal,12/21/06,216,1/26/07,1/8/15,36,354,25,3572,3261,0,79,59,28,21,20,10,4,0,2,223,945," Italy, San Marino, Vatican City, Malta"
2435077,822558939,acbk,Henry David Tho,12/22/06,217,5/22/08,10/21/14,517,355,142,3571,2779,0,0,2,7,5,2,1,2,3,2,24,510,Mathematics
2402046,977616630,acbk,Agile web devel,12/24/06,218,2/14/07,10/3/12,52,357,44,3569,3242,0,32,20,14,8,5,4,0,0,0,83,5," Computer programming, programs & data"
2404723,075662603X,acbk,Japanese light,12/25/06,219,2/25/07,1/13/15,62,358,55,3568,3231,0,53,38,38,32,19,17,16,4,3,220,641, Food & drink
2387252,1418038474,acbk,CDL test prepar,12/27/06,220,2/20/07,10/8/14,55,360,50,3566,3236,0,19,21,17,12,14,8,5,5,1,102,629,Other branches of engineering
2402318,786717645,acbk,Hex a novel of,12/29/06,221,2/5/07,9/19/12,38,362,35,3564,3251,0,26,9,8,1,5,2,0,0,0,51,810,American literature in English
2399164,076114370X,acbk,Is it hot in he,12/30/06,222,1/25/07,4/11/13,26,363,24,3563,3262,0,38,28,28,16,8,7,4,0,0,129,618," Gynecology, obstetrics, pediatrics, geriatrics"
2397654,811833461,acbk,Stylepedia a gu,1/1/07,223,2/18/07,5/16/11,48,0,48,3561,3238,0,39,37,32,22,7,0,0,0,0,137,701, Philosophy & theory of fine & decorative arts
2381222,60088915,acbk,eighth day,1/2/07,224,3/6/07,9/27/14,63,1,64,3560,3222,0,16,9,19,18,13,13,9,17,7,121,741,Drawing & drawings
2729975,1879794217,jcbk,Sonic the hedge,1/3/07,225,8/15/11,1/17/15,1685,2,226,3559,1599,0,0,0,0,0,58,143,107,42,19,369,741,Drawing & drawings
2393130,061843366X,acbk,Weight loss con,1/4/07,226,1/31/07,10/26/12,27,3,30,3558,3256,0,16,5,4,4,5,3,0,0,0,37,613,Personal health & safety
2393113,830833528,acbk,Doubting growin,1/5/07,227,2/15/07,5/22/14,41,4,45,3557,3241,0,10,2,2,5,3,4,3,1,0,30,234, Salvation & grace
2440057,1401918530,acbk,Choices and ill,1/6/07,228,7/17/07,2/8/13,192,5,197,3556,3089,0,18,33,26,10,16,17,2,0,0,122,153,Conscious mental processes & intelligence
2402334,031601091X,acbk,god of mischief,1/7/07,229,3/9/07,4/30/12,61,6,67,3555,3219,0,12,9,8,5,2,3,0,0,0,39,70,"Documentary media, educational media, news media; journalism; publishing"
2401239,160771390,acbk,Incident manage,1/10/07,230,2/14/12,4/11/12,1861,9,44,3552,1416,0,0,0,0,0,0,2,0,0,0,2,658,General management
2383589,1595581065,acbk,Latin America a,1/15/07,231,2/14/07,12/17/14,30,14,44,3547,3242,0,3,3,2,1,2,0,0,1,0,12,320,Political science (Politics & government)
2399411,1595550690,acbk,Armed America t,1/16/07,232,2/13/07,2/3/14,28,15,43,3546,3243,0,14,3,2,0,2,2,0,1,2,26,363,Other social problems & services
2392249,448444631,acbk,French twist,1/18/07,233,3/5/07,10/23/08,46,17,63,3544,3223,0,15,7,0,0,0,0,0,0,0,22,814,American essays in English
