isbn,publishDate,publishOrder,bib,itemType,checkOutCount,minCheckOut,maxCheckOut,x_adoption,x_age,y_fullFrequency,y_partialFrequency,relative_age
785122184,3/7/07,267,2444080,acbk,139,8/31/07,11/30/11,177,1729,8.0393,8.9562,430
811850757,3/8/07,268,2418864,acbk,94,6/5/07,1/5/15,89,2860,3.2867,3.3923,431
1559708190,3/9/07,269,2400737,acbk,76,3/21/07,8/5/13,12,2341,3.2465,3.2632,432
1597971294,3/10/07,270,2452813,acbk,106,10/20/07,12/28/14,224,2850,3.7193,4.0366,433
1401602894,3/11/07,271,2407651,acbk,63,4/2/07,8/9/13,22,2343,2.6889,2.7143,434
856407941,3/13/07,272,2412212,acbk,14,6/13/07,7/5/11,92,1575,0.8889,0.944,436
1560977949,3/14/07,273,2414178,acbk,152,4/27/07,12/26/14,44,2844,5.3446,5.4286,437
1585678945,3/15/07,274,2396368,acbk,140,4/23/07,12/11/13,39,2463,5.6841,5.7756,438
1843108542,3/15/07,275,2510906,jcbk,160,8/7/08,1/6/15,511,2854,5.6062,6.8289,438
1565125029,3/16/07,276,2397755,acbk,261,4/5/07,12/23/14,20,2839,9.1934,9.2586,439
039305974X,3/17/07,277,2397772,acbk,193,3/29/07,4/15/14,12,2586,7.4633,7.4981,440
691049831,3/18/07,278,2435970,acbk,25,1/8/08,12/22/14,296,2836,0.8815,0.9843,441
1426200315,3/20/07,279,2417163,acbk,182,4/18/07,1/3/15,29,2846,6.3949,6.4608,443
1585678341,3/22/07,280,2396353,acbk,76,4/17/07,10/11/13,26,2395,3.1733,3.2081,445
1904920233,3/26/07,281,2583607,acbk,172,5/27/09,11/26/14,793,2802,6.1385,8.5615,449
1575255332,3/30/07,282,2468657,jcbk,69,1/23/08,1/20/15,299,2853,2.4185,2.7016,453
976773597,3/31/07,283,2471688,acbk,21,5/21/08,2/12/14,417,2510,0.8367,1.0033,454
1558688633,4/1/07,284,2356250,acbk,186,10/17/07,1/2/15,199,2833,6.5655,7.0615,455
1572245948,4/1/07,285,2628870,acbk,136,1/14/10,10/7/14,1019,2746,4.9527,7.8749,455
60765895,4/3/07,286,2408041,acbk,179,5/2/07,1/15/14,29,2479,7.2207,7.3061,457
803726961,4/5/07,287,2413848,jcbk,773,5/1/07,1/17/15,26,2844,27.18,27.4308,459
014045537X,4/6/07,288,2728461,acbk,21,8/2/11,5/3/13,1579,2219,0.9464,3.2813,460
374317089,4/7/07,289,2410849,jcbk,12,4/17/07,10/1/13,10,2369,0.5065,0.5087,461
738709662,4/8/07,290,2409338,acbk,78,4/13/07,11/18/14,5,2781,2.8047,2.8098,462
618756396,4/9/07,291,2404591,jcbk,674,4/23/07,1/21/15,14,2844,23.699,23.8163,463
976896931,4/11/07,292,2731451,acbk,38,8/28/11,12/29/14,1600,2819,1.348,3.1173,465
1554072522,4/12/07,293,2411680,jcbk,352,5/26/07,1/13/15,44,2833,12.425,12.621,466
1552638502,4/13/07,294,2447272,acbk,5,2/16/08,1/8/10,309,1001,0.4995,0.7225,467
1580176585,4/14/07,295,2406837,acbk,411,4/17/07,11/13/14,3,2770,14.8375,14.8536,468
097193097X,4/15/07,296,2417561,acbk,197,4/28/07,1/8/15,13,2825,6.9735,7.0057,469
312366264,4/17/07,297,2476715,acbk,181,3/30/08,11/7/14,348,2761,6.5556,7.501,471
1852247134,4/18/07,298,2420316,acbk,5,8/17/07,4/6/11,121,1449,0.3451,0.3765,472
898215188,4/19/07,299,2449418,acbk,148,8/23/07,1/12/15,126,2825,5.2389,5.4835,473
078798437X,4/20/07,300,2411220,acbk,32,5/17/07,10/24/14,27,2744,1.1662,1.1778,474
71475001,4/22/07,301,2419271,acbk,100,5/21/07,1/4/15,29,2814,3.5537,3.5907,476
618594442,4/23/07,302,2403669,jcbk,464,5/22/07,1/12/15,29,2821,16.4481,16.6189,477
806138351,4/26/07,303,2401805,acbk,60,4/27/07,8/3/13,1,2291,2.6189,2.6201,480
470124164,4/27/07,304,2413292,acbk,184,5/19/07,1/7/15,22,2812,6.5434,6.595,481
159213615X,4/28/07,305,2400736,acbk,57,5/14/07,12/26/14,16,2799,2.0364,2.0481,482
807042226,5/2/07,306,2403256,acbk,32,5/7/07,7/3/11,5,1523,2.1011,2.108,486
930852370,5/5/07,307,2403226,acbk,56,6/6/07,6/3/13,32,2221,2.5214,2.5582,489
802118461,5/10/07,308,2403612,acbk,359,6/12/07,12/19/14,33,2780,12.9137,13.0688,494
1568583346,5/11/07,309,2431884,acbk,16,6/13/07,5/11/10,33,1096,1.4599,1.5052,495
1851685219,5/12/07,310,2431846,acbk,57,6/13/07,11/9/14,32,2738,2.0818,2.1064,496
794605230,5/15/07,311,2430594,acbk,126,5/17/07,7/26/14,2,2629,4.7927,4.7963,499
757002900,5/15/07,312,2724326,acbk,23,7/25/11,11/5/14,1532,2731,0.8422,1.9183,499
618729054,5/16/07,313,2406021,acbk,32,6/1/07,8/10/10,16,1182,2.7073,2.7444,500
1616081724,5/17/07,314,2733536,acbk,86,9/17/11,12/27/14,1584,2781,3.0924,7.1846,501
895873362,5/18/07,315,2408055,acbk,82,5/25/07,3/10/11,7,1392,5.8908,5.9206,502
978793196,5/21/07,316,2442745,acbk,8,7/27/07,7/10/10,67,1146,0.6981,0.7414,505
1846284392,5/26/07,317,2513373,acbk,32,1/9/09,10/6/14,594,2690,1.1896,1.5267,510
813030420,5/27/07,318,2431929,acbk,7,6/30/07,6/3/14,34,2564,0.273,0.2767,511
1741148715,5/28/07,319,2418996,acbk,24,6/18/07,3/29/10,21,1036,2.3166,2.3645,512
1933617063,5/31/07,320,2532383,acbk,189,10/17/08,7/29/14,505,2616,7.2248,8.9531,515
1576855929,6/1/07,321,2665850,acbk,19,8/20/10,6/15/14,1176,2571,0.739,1.362,516
151013039,6/4/07,322,2397474,acbk,246,6/15/07,11/26/14,11,2732,9.0044,9.0408,519
061865853X,6/7/07,323,2411227,acbk,157,6/14/07,2/18/14,7,2448,6.4134,6.4318,522
321503252,6/9/07,324,2485954,acbk,51,3/26/08,1/5/15,291,2767,1.8432,2.0598,524
316340588,6/11/07,325,2407646,acbk,246,6/20/07,1/5/15,9,2765,8.8969,8.926,526
446500038,6/14/07,326,2409377,acbk,278,6/22/07,12/2/13,8,2363,11.7647,11.8047,529
712349189,6/15/07,327,2463958,acbk,77,12/6/07,11/13/14,174,2708,2.8434,3.0387,530
786838965,6/16/07,328,2437280,jcbk,534,7/18/07,11/9/14,32,2703,19.7558,19.9925,531
1590512103,6/17/07,329,2417948,acbk,22,6/18/07,9/24/12,1,1926,1.1423,1.1429,532
1400043956,6/19/07,330,2405959,acbk,376,7/5/07,1/22/15,16,2774,13.5544,13.6331,534
1856075532,6/20/07,331,2419299,acbk,27,6/29/07,6/12/13,9,2184,1.2363,1.2414,535
525950184,6/21/07,332,2420817,acbk,248,7/7/07,7/5/14,16,2571,9.6461,9.7065,536
1596922044,6/22/07,333,2417064,acbk,35,7/25/07,4/20/13,33,2129,1.644,1.6698,537
830834427,6/24/07,334,2434560,acbk,28,6/29/07,1/21/15,5,2768,1.0116,1.0134,539
1401302645,6/27/07,335,2414314,acbk,194,7/5/07,5/17/13,8,2151,9.0191,9.0527,542
300100477,6/28/07,336,2411847,acbk,149,7/6/07,3/30/14,8,2467,6.0397,6.0594,543
345496337,7/3/07,337,2417048,acbk,123,7/13/07,1/11/15,10,2749,4.4744,4.4907,548
1582406944,7/3/07,338,2747505,acbk,87,1/7/12,1/7/15,1649,2745,3.1694,7.938,548
72263946,7/6/07,339,2446490,acbk,88,8/21/07,7/14/13,46,2200,4,4.0854,551
618756825,7/9/07,340,2412239,acbk,50,7/13/07,1/15/14,4,2382,2.0991,2.1026,554
385516290,7/10/07,341,2412229,acbk,241,7/25/07,10/27/14,15,2666,9.0398,9.0909,555
031610745X,7/11/07,342,2420252,acbk,392,7/14/07,1/14/15,3,2744,14.2857,14.3013,556
1596922524,7/13/07,343,2443745,acbk,38,8/30/07,9/7/14,48,2613,1.4543,1.4815,558
1590582357,7/15/07,344,2445213,acbk,277,7/25/07,1/6/15,10,2732,10.1391,10.1763,560
393062368,7/16/07,345,2434569,acbk,183,7/26/07,12/9/13,10,2338,7.8272,7.8608,561
307381366,7/17/07,346,2414333,acbk,736,7/31/07,12/30/14,14,2723,27.029,27.1687,562
1591025451,7/18/07,347,2419399,acbk,48,7/29/07,5/18/11,11,1400,3.4286,3.4557,563
399154337,7/19/07,348,2412231,acbk,344,8/3/07,1/22/15,15,2744,12.5364,12.6053,564
1932594221,7/20/07,349,2419260,acbk,92,7/25/07,9/30/12,5,1899,4.8447,4.8574,565
71485503,7/22/07,350,2450255,acbk,18,9/17/07,9/5/14,57,2602,0.6918,0.7073,567
871139553,7/23/07,351,2445275,acbk,143,8/13/07,11/20/14,21,2677,5.3418,5.384,568
60540923,7/24/07,352,2409335,acbk,1781,8/2/07,1/20/15,9,2737,65.0712,65.2859,569
1594031959,7/25/07,353,2436837,acbk,61,8/23/07,1/28/12,29,1648,3.7015,3.7678,570
192807218,7/26/07,354,2446558,acbk,59,8/17/07,8/12/14,22,2574,2.2922,2.3119,571
300121040,7/28/07,355,2439100,acbk,62,8/3/07,12/30/14,6,2712,2.2861,2.2912,573
141441828,7/31/07,356,2728546,acbk,22,8/9/11,1/18/15,1470,2728,0.8065,1.7488,576
043989624X,8/1/07,357,2445720,jcbk,57,8/21/07,2/14/11,20,1293,4.4084,4.4776,577
1594489416,8/2/07,358,2414319,acbk,62,8/25/07,1/19/13,23,1997,3.1047,3.1408,578
1565124960,8/3/07,359,2434482,acbk,43,8/8/07,5/24/14,5,2486,1.7297,1.7332,579
1889054119,8/6/07,360,2460765,acbk,48,1/17/08,9/15/14,164,2597,1.8483,1.9729,582
618883436,8/13/07,361,2431770,acbk,142,8/23/07,12/6/14,10,2672,5.3144,5.3343,589
1563926547,8/15/07,362,2444474,acbk,21,10/5/07,9/25/14,51,2598,0.8083,0.8245,591
393060039,8/17/07,363,2417065,acbk,121,9/7/07,11/24/14,21,2656,4.5557,4.592,593
031024210X,8/19/07,364,2447343,acbk,71,9/5/07,10/4/11,17,1507,4.7113,4.7651,595
749081473,8/20/07,365,2448231,acbk,93,9/19/07,4/11/14,30,2426,3.8335,3.8815,596
1594864535,8/21/07,366,2451359,acbk,96,8/30/07,10/6/12,9,1873,5.1255,5.1502,597
316830321,8/22/07,367,2419386,acbk,269,8/30/07,2/19/14,8,2373,11.3359,11.3742,598
446578762,8/23/07,368,2418994,acbk,400,8/31/07,11/3/14,8,2629,15.2149,15.2614,599
310273986,8/26/07,369,2440152,acbk,58,8/30/07,3/8/13,4,2021,2.8699,2.8756,602
262072890,8/30/07,370,2442228,acbk,68,9/15/07,5/3/14,16,2438,2.7892,2.8076,606
849915112,9/2/07,371,2441295,acbk,176,10/2/07,7/10/13,30,2138,8.232,8.3491,609
807831425,9/3/07,372,2445905,acbk,15,9/5/07,12/20/10,2,1204,1.2458,1.2479,610
1401308627,9/4/07,373,2456471,acbk,278,9/27/07,12/23/14,23,2667,10.4237,10.5144,611
316118044,9/5/07,374,2447404,acbk,181,9/11/07,6/26/13,6,2121,8.5337,8.5579,612
972561129,9/7/07,375,2481635,jcbk,48,5/21/08,11/15/14,257,2626,1.8279,2.0262,614
061859499X,9/10/07,376,2456844,acbk,34,10/20/07,7/21/10,40,1045,3.2536,3.3831,617
1580176801,9/12/07,377,2441265,acbk,134,10/1/07,12/19/14,19,2655,5.0471,5.0835,619
1552979997,9/14/07,378,2452936,acbk,99,10/27/07,6/29/14,43,2480,3.9919,4.0624,621
1590512650,9/15/07,379,2448312,acbk,13,11/27/07,8/8/11,73,1423,0.9136,0.963,622
393062260,9/17/07,380,2433238,acbk,95,10/6/07,12/15/14,19,2646,3.5903,3.6163,624
312374658,9/18/07,381,2679644,acbk,35,10/14/10,11/17/12,1122,1887,1.8548,4.5752,625
1401214533,9/19/07,382,2449370,acbk,224,10/30/07,11/23/13,41,2257,9.9247,10.1083,626
811859320,9/20/07,383,2548962,acbk,78,12/16/08,12/2/14,453,2630,2.9658,3.5829,627
972105050,9/25/07,384,2486322,acbk,20,7/12/08,12/31/14,291,2654,0.7536,0.8464,632
1413306985,9/27/07,385,2434998,acbk,42,11/5/07,5/16/12,39,1693,2.4808,2.5393,634
1904435548,9/28/07,386,2451493,acbk,37,9/29/07,7/30/14,1,2497,1.4818,1.4824,635
1891830945,9/29/07,387,2476922,acbk,163,3/5/08,12/13/14,158,2632,6.193,6.5885,636
8498011442,10/1/07,388,2481630,jcbk,66,6/18/08,1/3/15,261,2651,2.4896,2.7615,638
8466320148,10/1/07,389,2683158,acbk,21,3/12/11,8/29/14,1258,2524,0.832,1.6588,638
61351954,10/2/07,390,2443856,acbk,55,10/16/07,1/14/15,14,2661,2.0669,2.0778,639
1401214630,10/3/07,391,2456148,acbk,153,12/2/07,3/13/12,60,1623,9.427,9.7889,640
1413307051,10/4/07,392,2435042,acbk,162,11/16/07,11/10/14,43,2594,6.2452,6.3505,641
471781835,10/8/07,393,2439103,acbk,132,11/1/07,1/26/14,24,2302,5.7341,5.7946,645
1845371798,10/12/07,394,2505280,acbk,52,6/7/08,1/2/15,239,2639,1.9704,2.1667,649
977628167,10/13/07,395,2451446,acbk,15,11/17/07,8/4/11,35,1391,1.0784,1.1062,650
849918677,10/14/07,396,2451392,acbk,27,12/17/07,4/2/14,64,2362,1.1431,1.1749,651
1609180755,10/19/07,397,2692288,acbk,100,1/11/11,1/9/15,1180,2639,3.7893,6.854,656
1596920637,10/19/07,398,2458947,acbk,57,7/21/08,11/25/14,276,2594,2.1974,2.459,656
151014116,10/24/07,399,2437776,acbk,595,11/1/07,1/20/15,8,2645,22.4953,22.5635,661
1413305326,10/25/07,400,2435027,acbk,41,1/11/08,4/10/14,78,2359,1.738,1.7975,662
1560259132,10/26/07,401,2442217,acbk,13,11/17/07,3/30/08,22,156,8.3333,9.7015,663
1551281279,10/27/07,402,2486957,acbk,9,12/13/08,8/29/14,413,2498,0.3603,0.4317,664
7231784,10/28/07,403,2480432,acbk,133,2/24/08,1/2/15,119,2623,5.0705,5.3115,665
316005274,10/31/07,404,2443892,acbk,187,11/2/07,1/6/15,2,2624,7.1265,7.132,668
1933390220,11/1/07,405,2465279,jcbk,246,12/19/07,1/20/15,48,2637,9.3288,9.5017,669
1568583664,11/3/07,406,2462320,acbk,26,11/25/07,7/2/12,22,1703,1.5267,1.5467,671
830835113,11/4/07,407,2456593,acbk,14,11/21/07,11/19/11,17,1476,0.9485,0.9596,672
038552241X,11/6/07,408,2453934,acbk,18,12/12/07,1/2/14,36,2249,0.8004,0.8134,674
1594201404,11/8/07,409,2443913,acbk,363,12/14/07,12/9/14,36,2588,14.0263,14.2241,676
1595581685,11/12/07,410,2456327,acbk,66,12/14/07,9/28/13,32,2147,3.0741,3.1206,680
446581208,11/14/07,411,2445652,acbk,110,12/5/07,3/6/13,21,1939,5.673,5.7351,682
830834907,11/16/07,412,2462308,acbk,33,11/26/07,10/27/14,10,2537,1.3007,1.3059,684
1602391939,11/17/07,413,2447355,acbk,28,12/19/07,10/13/14,32,2522,1.1102,1.1245,685
1561589411,11/20/07,414,2449381,acbk,157,12/3/07,11/6/14,13,2543,6.1738,6.2055,688
1560978449,11/21/07,415,2463760,acbk,181,12/14/07,6/25/14,23,2408,7.5166,7.5891,689
761135812,11/22/07,416,2473144,acbk,44,1/4/08,9/16/14,43,2490,1.7671,1.7981,690
1580052045,11/23/07,417,2463976,acbk,106,3/15/08,11/29/13,113,2198,4.8226,5.0839,691
019921557X,11/24/07,418,2471724,acbk,21,1/25/08,6/18/14,62,2398,0.8757,0.899,692
1600400043,11/25/07,419,2442761,jcbk,293,12/11/07,1/2/15,16,2595,11.2909,11.361,693
939616572,12/2/07,420,2562236,acbk,138,3/3/09,1/8/15,457,2594,5.32,6.4577,700
446199575,12/3/07,421,2456608,acbk,28,12/19/07,10/8/14,16,2501,1.1196,1.1268,701
1401215432,12/5/07,422,2453768,acbk,363,1/25/08,1/15/15,51,2598,13.9723,14.2521,703
979472725,12/6/07,423,2468138,acbk,139,2/2/08,1/5/15,58,2587,5.373,5.4962,704
738711055,12/8/07,424,2463908,acbk,130,12/9/07,12/18/14,1,2567,5.0643,5.0663,706
031600913X,12/11/07,425,2435132,acbk,889,12/14/07,11/25/14,3,2541,34.9862,35.0276,709
031606632X,12/12/07,426,2451383,acbk,334,12/17/07,12/28/14,5,2573,12.981,13.0062,710
811217116,12/17/07,427,2469907,acbk,17,1/3/08,7/3/14,17,2390,0.7113,0.7164,715
135011574,12/20/07,428,2633786,acbk,90,2/16/10,12/30/14,789,2567,3.506,5.0619,718
1560977981,12/21/07,429,2404764,acbk,60,1/15/08,1/20/15,25,2587,2.3193,2.3419,719
881928518,12/24/07,430,2517678,acbk,112,9/15/08,9/18/14,266,2460,4.5528,5.1048,722
073821115X,12/25/07,431,2463919,acbk,66,1/18/08,6/8/14,24,2357,2.8002,2.829,723
819568597,12/28/07,432,2463937,acbk,18,1/6/08,7/19/12,9,1665,1.0811,1.087,726
1901285855,1/1/08,433,2631881,acbk,40,4/17/10,1/21/15,837,2577,1.5522,2.2989,730
61451916,1/2/08,434,2469033,acbk,78,1/15/08,11/10/14,13,2504,3.115,3.1313,731
881928607,1/4/08,435,2478161,acbk,62,2/7/08,11/28/14,34,2520,2.4603,2.494,733
1893910490,1/5/08,436,2486313,acbk,31,3/31/08,3/11/12,86,1527,2.0301,2.1513,734
184767125X,1/5/08,437,2671151,acbk,26,10/21/10,1/5/14,1020,2192,1.1861,2.2184,734
785289380,1/6/08,438,2534163,acbk,47,11/1/08,11/23/14,300,2513,1.8703,2.1238,735
7801708407,1/6/08,439,2731492,acbk,29,8/26/11,5/6/14,1328,2312,1.2543,2.9472,735
151013705,1/7/08,440,2456038,acbk,77,1/19/08,2/27/13,12,1878,4.1001,4.1265,736
132400103,1/12/08,441,2665163,acbk,20,7/13/10,1/17/15,913,2562,0.7806,1.2129,741
71591583,1/13/08,442,2485983,acbk,170,3/26/08,12/20/14,73,2533,6.7114,6.9106,742
1596922583,1/18/08,443,2457738,acbk,47,10/27/08,6/8/11,283,1237,3.7995,4.9266,747
160795591,1/20/08,444,2485482,acbk,6,4/8/08,8/10/13,79,2029,0.2957,0.3077,749
1841958816,1/21/08,445,2460764,acbk,163,1/29/08,1/10/15,8,2546,6.4022,6.4224,750
785119108,1/23/08,446,2444078,acbk,351,3/2/08,1/6/15,39,2540,13.8189,14.0344,752
399154396,1/24/08,447,2440299,acbk,66,2/6/08,6/13/14,13,2332,2.8302,2.8461,753
160786916,1/25/08,448,2441102,acbk,6,9/20/08,9/16/14,239,2426,0.2473,0.2743,754
310269032,1/27/08,449,2480947,acbk,59,3/1/08,8/9/12,34,1656,3.5628,3.6375,756
521701473,1/28/08,450,2632655,acbk,29,2/27/10,1/11/15,761,2540,1.1417,1.6301,757
520252322,1/28/08,451,2473862,acbk,21,3/29/08,1/4/15,61,2533,0.8291,0.8495,757
955138442,1/30/08,452,2475870,acbk,22,5/19/08,8/11/14,110,2385,0.9224,0.967,759
873489993,1/31/08,453,2631273,acbk,5,2/27/10,10/31/14,758,2465,0.2028,0.2929,760
1572245220,2/2/08,454,2469076,acbk,113,2/10/08,1/11/15,8,2535,4.4576,4.4717,762
691131511,2/3/08,455,2471611,acbk,119,2/13/08,12/20/14,10,2512,4.7373,4.7562,763
1595542140,2/5/08,456,2458602,acbk,60,2/7/08,4/23/13,2,1904,3.1513,3.1546,765
140121097X,2/6/08,457,2472495,acbk,215,3/11/08,11/26/14,34,2485,8.6519,8.7719,766
892553383,2/7/08,458,2502961,acbk,9,6/30/08,4/20/13,144,1899,0.4739,0.5128,767
1569069956,2/8/08,459,2498456,acbk,109,5/24/08,5/24/14,106,2297,4.7453,4.9749,768
1933771291,2/9/08,460,2483197,acbk,44,3/22/08,11/8/14,42,2464,1.7857,1.8167,769
871139782,2/11/08,461,2458598,acbk,859,3/17/08,1/20/15,35,2535,33.8856,34.36,771
158240500X,2/12/08,462,2857590,acbk,121,12/5/12,1/22/15,1758,2536,4.7713,15.5527,772
1560978910,2/13/08,463,2488740,acbk,98,5/7/08,8/26/13,84,2021,4.8491,5.0594,773
1572245026,2/14/08,464,2485815,acbk,110,3/25/08,1/15/15,40,2527,4.353,4.423,774
801012996,2/15/08,465,2460694,acbk,17,3/21/08,4/12/11,35,1152,1.4757,1.5219,775
826341780,2/16/08,466,2486204,acbk,36,6/27/08,8/12/13,132,2004,1.7964,1.9231,776
802118623,2/18/08,467,2467031,acbk,67,3/22/08,10/17/14,33,2433,2.7538,2.7917,778
571217443,2/19/08,468,2463915,acbk,35,3/20/08,1/10/15,30,2517,1.3905,1.4073,779
199218420,2/20/08,469,2472750,acbk,56,2/22/08,11/23/14,2,2468,2.269,2.2709,780
848731204,2/22/08,470,2505677,acbk,211,7/1/08,1/12/15,130,2516,8.3863,8.8433,782
8498674697,3/1/08,471,2598520,acbk,21,7/29/09,11/29/12,515,1734,1.2111,1.7227,790
310277272,3/2/08,472,2480718,acbk,38,3/19/08,6/12/13,17,1928,1.971,1.9885,791
030011544X,3/3/08,473,2484728,acbk,39,3/25/08,12/3/13,22,2101,1.8563,1.8759,792
195305574,3/7/08,474,2481349,acbk,17,3/24/08,4/12/14,17,2227,0.7634,0.7692,796
738710482,3/8/08,475,2483795,acbk,79,3/29/08,8/18/13,21,1989,3.9718,4.0142,797
310712149,3/9/08,476,2492500,jcbk,225,4/26/08,1/9/15,48,2497,9.0108,9.1874,798
316199079,3/10/08,477,2472065,acbk,218,3/24/08,6/24/14,14,2297,9.4906,9.5488,799
61337552,3/11/08,478,2472437,acbk,35,4/4/08,1/17/15,24,2503,1.3983,1.4119,800
520079612,3/12/08,479,2480072,acbk,46,5/1/08,1/11/15,50,2496,1.8429,1.8806,801
826344097,3/16/08,480,2492894,acbk,9,5/21/08,5/6/09,66,416,2.1635,2.5714,805
1596922834,3/17/08,481,2473379,acbk,41,4/25/08,10/16/14,39,2404,1.7055,1.7336,806
802170447,3/18/08,482,2467888,acbk,64,3/22/08,11/26/14,4,2444,2.6187,2.623,807
71548424,3/19/08,483,2498436,acbk,83,6/11/08,5/20/14,84,2253,3.684,3.8266,808
1568987374,3/20/08,484,2501521,acbk,53,6/12/08,2/24/14,84,2167,2.4458,2.5444,809
618737391,3/21/08,485,2484265,jcbk,99,4/4/08,1/20/15,14,2496,3.9663,3.9887,810
691126984,3/23/08,486,2494079,acbk,65,5/6/08,1/18/15,44,2492,2.6083,2.6552,812
031601785X,3/26/08,487,2480712,acbk,224,4/13/08,8/19/14,18,2337,9.5849,9.6593,815
674027744,3/29/08,488,2472427,acbk,18,4/2/08,10/20/14,4,2396,0.7513,0.7525,818
3791339435,3/31/08,489,2507410,acbk,37,8/14/08,12/26/14,136,2461,1.5035,1.5914,820
785123709,4/2/08,490,2500973,acbk,339,6/6/08,1/17/15,65,2481,13.6638,14.0315,822
674028228,4/4/08,491,2483213,acbk,15,4/17/08,3/22/14,13,2178,0.6887,0.6928,824
316002119,4/7/08,492,2472023,acbk,536,4/23/08,10/29/14,16,2396,22.3706,22.521,827
141030437,4/9/08,493,2503427,acbk,49,6/16/08,10/14/14,68,2379,2.0597,2.1203,829
399243798,4/10/08,494,2470785,jcbk,34,5/7/08,1/8/14,27,2099,1.6198,1.6409,830
1596922869,4/11/08,495,2502941,acbk,66,6/11/08,12/22/14,61,2446,2.6983,2.7673,831
979475600,4/13/08,496,2509894,acbk,22,7/19/08,5/6/14,97,2214,0.9937,1.0392,833
151014841,4/14/08,497,2472005,acbk,82,4/29/08,7/2/14,15,2270,3.6123,3.6364,834
979882419,4/14/08,498,2662658,acbk,20,7/23/10,4/22/14,830,2199,0.9095,1.4609,834
385507992,4/15/08,499,2469044,acbk,68,4/26/08,12/15/14,11,2435,2.7926,2.8053,835
618879641,4/16/08,500,2471701,acbk,198,4/23/08,1/3/15,7,2453,8.0717,8.0948,836
195314395,4/18/08,501,2475439,acbk,128,4/29/08,9/22/14,11,2348,5.4514,5.4771,838
848731921,4/20/08,502,2503259,acbk,244,6/16/08,1/17/15,57,2463,9.9066,10.1413,840
785126430,4/23/08,503,2512662,jcbk,444,7/11/08,1/26/14,79,2104,21.1027,21.9259,843
300122772,4/24/08,504,2494742,acbk,27,5/10/08,9/26/14,16,2346,1.1509,1.1588,844
830836098,4/25/08,505,2483211,acbk,38,5/21/08,11/14/14,26,2394,1.5873,1.6047,845
1905798091,4/28/08,506,2493462,acbk,77,5/6/08,3/6/14,8,2138,3.6015,3.615,848
1592536255,5/1/08,507,2656513,acbk,124,5/19/10,1/12/15,748,2447,5.0674,7.2984,851
081448056X,5/7/08,508,2478989,acbk,159,5/22/08,1/14/15,15,2443,6.5084,6.5486,857
977762440,5/9/08,509,2543826,acbk,8,2/9/09,9/15/14,276,2320,0.3448,0.3914,859
1590584805,5/10/08,510,2489674,acbk,92,5/13/08,9/3/13,3,1942,4.7374,4.7447,860
307382958,5/11/08,511,2491569,acbk,84,5/23/08,10/26/14,12,2359,3.5608,3.579,861
151010811,5/12/08,512,2477851,acbk,55,5/23/08,8/2/13,11,1908,2.8826,2.8993,862
978617622,5/14/08,513,2552470,jcbk,118,4/1/09,10/2/14,322,2332,5.06,5.8706,864
768927803,5/16/08,514,2525592,acbk,74,10/2/08,1/10/13,139,1700,4.3529,4.7406,866
393060594,5/17/08,515,2478165,acbk,143,6/3/08,8/6/14,17,2272,6.294,6.3415,867
691114315,5/18/08,516,2489036,acbk,42,6/5/08,11/1/14,18,2358,1.7812,1.7949,868
076363025X,5/22/08,517,2484516,acbk,105,7/8/08,1/17/15,47,2431,4.3192,4.4044,872
1597261742,5/23/08,518,2493694,acbk,13,7/7/08,7/9/12,45,1508,0.8621,0.8886,873
1932646329,5/25/08,519,2501526,acbk,75,6/28/08,2/24/14,34,2101,3.5697,3.6284,875
1933648872,5/26/08,520,2483776,acbk,58,6/25/08,11/25/12,30,1644,3.528,3.5936,876
752877992,5/28/08,521,2518393,acbk,24,9/2/08,11/26/14,97,2373,1.0114,1.0545,878
039924686X,5/29/08,522,2498009,acbk,43,7/1/08,2/12/13,33,1720,2.5,2.5489,879
1905005601,5/31/08,523,2505243,acbk,143,6/9/08,11/13/14,9,2357,6.067,6.0903,881
1559213051,6/1/08,524,2638935,acbk,78,2/27/10,1/17/15,636,2421,3.2218,4.3697,882
9707774630,6/2/08,525,2589608,jcbk,142,7/8/09,1/15/15,401,2418,5.8726,7.0402,883
195340116,6/5/08,526,2484814,acbk,34,6/14/08,9/28/14,9,2306,1.4744,1.4802,886
525950702,6/19/08,527,2477926,acbk,271,7/7/08,11/19/13,18,1979,13.6938,13.8195,900
340954663,6/28/08,528,2486267,acbk,58,7/21/08,11/16/13,23,1967,2.9487,2.9835,909
184425383X,6/30/08,529,2603571,acbk,3,4/15/10,7/7/12,654,1468,0.2044,0.3686,911
897935047,7/1/08,530,2738407,acbk,47,11/5/11,12/11/14,1222,2354,1.9966,4.1519,912
174114857X,7/1/08,531,2510945,acbk,16,8/12/08,10/19/13,42,1936,0.8264,0.8448,912
316006947,7/3/08,532,2490587,acbk,100,7/14/08,1/4/15,11,2376,4.2088,4.2283,914
520252268,7/7/08,533,2484815,acbk,58,7/14/08,9/23/14,7,2269,2.5562,2.5641,918
1590512790,7/8/08,534,2504292,acbk,60,7/26/08,10/22/14,18,2297,2.6121,2.6327,919
307377032,7/15/08,535,2489711,acbk,108,7/24/08,8/9/14,9,2216,4.8736,4.8935,926
525950281,7/17/08,536,2483828,acbk,234,8/2/08,11/15/14,16,2312,10.1211,10.1916,928
194740153,7/20/08,537,2704694,bcbk,32,3/7/11,6/13/14,960,2154,1.4856,2.6801,931
