isbn,publishDate,publishOrder,bib,itemType,checkOutCount,minCheckOut,maxCheckOut,x_adoption,x_age,y_fullFrequency,y_partialFrequency,relative_age
226327310,4/14/06,61,2350128,acbk,23,6/14/06,1/16/15,61,3199,0.719,0.733,103
849900506,4/16/06,62,2446632,acbk,18,8/18/07,6/30/11,489,1901,0.9469,1.2748,105
520246136,4/17/06,63,2355104,acbk,22,6/9/06,11/6/14,53,3125,0.704,0.7161,106
345477189,4/18/06,64,2336650,acbk,93,5/5/06,1/13/14,17,2827,3.2897,3.3096,107
300114540,4/19/06,65,2356698,acbk,15,6/15/06,9/12/14,57,3068,0.4889,0.4982,108
1932236937,4/21/06,66,2409476,acbk,13,4/10/07,12/9/11,354,2058,0.6317,0.7629,110
71473548,4/22/06,67,2492317,acbk,15,8/12/08,1/8/15,843,3183,0.4713,0.641,111
972372946,4/24/06,68,2403546,jcbk,12,2/25/07,7/24/11,307,1917,0.626,0.7453,113
60579188,4/25/06,69,2338322,jcbk,125,5/25/06,12/28/14,30,3169,3.9445,3.9822,114
821416529,4/26/06,70,2341875,acbk,7,5/23/06,1/17/13,27,2458,0.2848,0.2879,115
810857308,4/30/06,71,2361866,acbk,14,3/24/07,7/22/14,328,3005,0.4659,0.523,119
1400042666,5/2/06,72,2342602,acbk,2397,5/31/06,1/20/15,29,3185,75.259,75.9506,121
1578068495,5/3/06,73,2361827,acbk,31,7/19/06,8/21/14,77,3032,1.0224,1.0491,122
047209940X,5/5/06,74,2355102,acbk,39,6/30/06,6/14/12,56,2232,1.7473,1.7923,124
1400095506,5/9/06,75,2348838,acbk,98,5/30/06,2/16/14,21,2840,3.4507,3.4764,128
811854051,5/11/06,76,2359619,jcbk,338,7/27/06,9/14/14,77,3048,11.0892,11.3766,130
1931382840,5/12/06,77,2417980,acbk,117,5/4/07,12/27/14,357,3151,3.7131,4.1875,131
977883353,5/14/06,78,2392556,acbk,25,2/3/07,3/22/13,265,2504,0.9984,1.1166,133
080932704X,5/15/06,79,2363682,acbk,8,8/21/06,2/15/13,98,2468,0.3241,0.3376,134
1845072901,5/17/06,80,2395961,jcbk,276,3/1/07,1/17/15,288,3167,8.7149,9.5867,136
1851098674,5/19/06,81,2396184,acbk,25,2/11/07,10/18/14,268,3074,0.8133,0.8909,138
1414300468,5/22/06,82,2365652,acbk,38,8/15/06,12/4/12,85,2388,1.5913,1.65,141
159863139X,5/24/06,83,2431992,acbk,185,7/10/07,1/19/13,412,2432,7.6069,9.1584,143
810852039,5/25/06,84,2395203,jcbk,9,3/8/07,6/16/14,287,2944,0.3057,0.3387,144
1565849922,5/26/06,85,2350787,acbk,33,7/5/06,2/21/12,40,2097,1.5737,1.6043,145
1579906249,5/28/06,86,2379686,acbk,139,11/8/06,3/30/13,164,2498,5.5645,5.9554,147
756619580,5/29/06,87,2359627,jcbk,249,7/15/06,12/9/14,47,3116,7.991,8.1134,148
1931236658,5/31/06,88,2377639,acbk,11,11/16/06,10/16/08,169,869,1.2658,1.5714,150
786838426,6/2/06,89,2358347,jcbk,124,6/13/06,11/18/08,11,900,13.7778,13.9483,152
811732959,6/5/06,90,2386386,acbk,44,2/3/07,6/11/14,243,2928,1.5027,1.6387,155
674996186,6/7/06,91,2343044,acbk,5,3/22/07,11/2/08,288,879,0.5688,0.846,157
448441241,6/8/06,92,2360641,jcbk,183,7/24/06,11/17/11,46,1988,9.2052,9.4233,158
618117628,6/12/06,93,2376967,jcbk,300,10/13/06,1/20/15,123,3144,9.542,9.9305,162
